facility_id,measure_id,measure_name,start_date,end_date,score_numeric,score_raw,score_available,sample_size,footnote
010044,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,103.0,103,true,409,
010044,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010044,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,7
010044,OP_22,Left before being seen,2024-01-01,2024-12-31,,2,true,6671,
010044,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010045,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
010045,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,131.0,131,true,397,
010045,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,116.0,116,true,346,
010045,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010045,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,295.0,295,true,43,
010045,OP_22,Left before being seen,2024-01-01,2024-12-31,,3,true,9867,
010045,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010046,EDV,Emergency department volume,2024-01-01,2024-12-31,,medium,true,,
010046,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,160.0,160,true,433,
010046,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,160.0,160,true,419,
